site,daf,fruit,weight,storewt,pene,brix,a*,egdd,fgdd,groundspot_a*,glucose,fructose,sucrose,total,glucose+fructose,starch,sweetness,flavour,dry/moist,fibre,heat_input_emerg,heat_input_flower,cls
0,1,18,2235.0,2061.0,7.9,12.1,16.4,664.0,323.0,9.6,7.6,7.8,32.5,47.9,15.4,102.8,570.2,735.4,483.4,178.6,860.0,519.0,1
0,1,2,2244.0,2029.0,7.3,11.0,16.9,664.0,323.0,6.9,17.9,17.1,23.6,58.6,35.0,86.7,838.9,773.4,715.2,135.5,860.0,519.0,0
0,1,4,2351.0,2161.0,8.7,12.6,17.8,664.0,323.0,7.6,15.9,15.1,34.6,65.6,31.0,104.4,662.5,761.7,350.2,163.9,860.0,519.0,1
0,1,11,2863.0,2607.0,8.6,12.4,17.0,664.0,323.0,4.6,17.1,16.0,26.8,59.8,33.0,101.6,844.5,757.0,418.6,186.5,860.0,519.0,0
0,2,18,2229.0,2011.0,9.5,12.5,19.5,727.0,376.0,15.6,6.8,6.3,38.5,51.5,13.1,76.2,512.5,721.9,531.2,94.2,923.0,572.0,1
0,2,5,2237.0,2052.0,10.2,11.8,19.6,727.0,376.0,11.5,13.6,12.9,33.1,59.6,26.5,66.9,617.3,781.6,434.4,68.2,923.0,572.0,0
0,2,13,2581.0,2403.0,10.2,13.2,18.2,727.0,376.0,9.2,16.3,14.7,39.3,70.4,31.0,109.1,585.0,644.5,215.7,124.5,923.0,572.0,0
0,2,14,2250.0,2098.0,10.2,12.6,17.0,727.0,376.0,12.9,11.7,11.3,36.4,59.5,23.0,100.7,431.3,617.5,188.0,147.2,923.0,572.0,0
0,3,16,2872.0,2552.0,9.6,14.5,22.8,804.0,438.0,8.2,11.3,10.6,40.0,61.8,21.8,104.2,955.8,972.4,564.3,92.4,1000.0,634.0,0
0,3,17,2425.0,2213.0,9.6,15.1,20.2,804.0,438.0,11.4,4.7,4.7,43.8,53.2,9.4,112.1,893.0,971.5,440.3,153.6,1000.0,634.0,0
0,3,19,2118.0,1842.0,8.9,15.4,19.8,804.0,438.0,19.0,4.8,4.4,43.6,52.7,9.2,123.9,855.0,1008.7,648.2,124.6,1000.0,634.0,0
0,3,6,2005.0,1795.0,7.7,13.2,18.2,804.0,438.0,14.1,9.3,9.2,30.2,48.6,18.5,91.5,854.0,944.4,808.8,150.4,1000.0,634.0,1
1,0,15,1629.0,1548.0,3.8,8.7,18.1,602.0,190.0,-2.2,21.0,18.4,8.5,47.9,39.4,68.5,543.2,493.9,808.3,487.4,798.0,386.0,2
1,0,18,1498.0,1432.0,3.4,8.0,15.1,602.0,190.0,-5.2,18.2,17.1,8.7,44.0,35.3,68.0,463.3,467.9,639.0,412.6,798.0,386.0,2
1,0,19,1749.0,1677.0,2.8,8.2,12.3,602.0,190.0,-4.8,17.2,17.7,8.9,43.9,34.9,79.0,451.7,503.5,679.5,379.9,798.0,386.0,2
1,0,21,1938.0,1852.0,3.4,8.1,13.3,602.0,190.0,-2.9,18.7,17.8,10.6,47.1,36.5,86.3,426.0,478.9,690.0,286.1,798.0,386.0,2
1,1,0,2485.0,2287.0,7.1,11.6,17.9,626.0,240.0,3.7,10.1,9.5,25.1,44.6,19.6,103.2,362.6,453.3,270.2,144.0,822.0,436.0,1
1,1,15,1335.0,1239.0,6.6,12.4,19.8,626.0,240.0,7.5,10.9,10.7,29.1,50.6,21.6,144.9,327.1,462.1,453.7,140.2,822.0,436.0,1
1,1,19,1400.0,1304.0,7.0,11.8,17.3,626.0,240.0,7.0,14.4,13.0,26.2,53.6,27.4,134.1,375.6,493.3,400.2,173.9,822.0,436.0,1
1,1,20,1503.0,1390.0,6.5,11.3,24.6,626.0,240.0,5.5,20.8,18.5,19.2,58.6,39.4,58.4,319.6,415.8,272.1,201.2,822.0,436.0,0
1,2,20,1359.0,1218.0,8.1,13.5,19.0,667.0,296.0,3.8,9.4,8.6,39.0,57.0,18.0,163.0,748.0,862.6,394.7,103.2,863.0,492.0,1
1,2,5,1577.0,1427.0,7.8,11.3,20.1,667.0,296.0,5.1,8.2,8.0,34.5,50.7,16.3,108.2,516.8,760.3,418.6,105.8,863.0,492.0,2
1,2,7,1428.0,1278.0,9.6,11.8,19.6,667.0,296.0,6.8,16.4,15.6,22.5,54.5,32.0,121.8,850.0,901.0,665.9,89.6,863.0,492.0,1
1,2,9,2116.0,1926.0,8.6,13.7,22.3,667.0,296.0,10.6,13.0,11.8,39.9,64.7,24.8,132.8,939.8,923.1,494.0,90.5,863.0,492.0,2
1,3,0,1526.0,1401.0,9.0,13.2,23.8,704.0,309.0,8.1,7.0,7.3,35.4,49.6,14.3,169.2,549.5,641.4,439.7,102.9,900.0,505.0,1
1,3,15,1865.0,1703.0,8.2,14.0,23.1,704.0,309.0,14.3,10.6,9.8,37.8,58.2,20.4,175.3,479.6,621.6,221.0,131.1,900.0,505.0,2
1,3,20,1361.0,1259.0,6.4,11.1,23.3,704.0,309.0,7.6,13.4,13.6,25.4,52.3,26.9,113.6,605.3,654.1,432.9,151.8,900.0,505.0,1
1,3,21,1156.0,1067.0,7.4,12.8,23.0,704.0,309.0,12.4,8.0,7.9,40.5,56.4,15.9,144.0,486.6,644.6,222.1,81.6,900.0,505.0,2
1,4,16,1743.0,1549.0,9.7,13.7,25.7,709.0,368.0,12.9,13.3,11.3,36.9,61.6,24.6,40.9,853.0,934.5,631.0,109.6,905.0,564.0,0
1,4,2,1620.0,1491.0,9.4,12.6,26.7,709.0,368.0,11.0,11.6,10.8,35.5,58.0,22.4,72.1,761.4,801.7,507.6,105.9,905.0,564.0,0
1,4,8,1374.0,1217.0,9.1,13.4,27.3,709.0,368.0,14.9,10.6,9.6,40.9,61.1,20.2,62.5,854.6,871.6,547.1,123.2,905.0,564.0,0
1,4,12,1478.0,1354.0,8.9,12.8,24.5,709.0,368.0,15.5,12.3,11.2,37.1,60.6,23.5,85.5,903.3,861.5,796.6,106.2,905.0,564.0,0
