A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14,A15,cls
1,44.2,6.7,2,1,11,8,7.4,1,1,3.0,1,0,0.0,0.0,1
1,23.5,9.0,2,1,11,8,8.5,1,1,5.0,1,0,120.0,0.0,1
2,34.9,5.0,2,1,14,4,7.5,1,1,6.0,1,0,0.0,1000.0,1
2,47.7,2.5,2,1,10,1,2.5,1,1,12.0,1,0,410.0,2510.0,1
2,22.8,11.0,2,1,11,8,2.5,1,1,7.0,1,0,100.0,809.0,1
2,34.4,4.2,2,1,7,1,3.2,1,1,2.0,0,0,274.0,610.0,1
1,28.4,3.5,2,1,13,8,0.8,1,0,0.0,0,2,280.0,0.0,1
2,67.8,5.5,2,1,5,9,13.0,1,1,1.0,1,0,0.0,0.0,1
2,20.4,1.8,2,1,2,8,2.2,1,1,1.0,0,0,100.0,150.0,1
1,47.4,8.0,2,1,5,1,6.5,1,1,6.0,0,0,375.0,51100.0,1
2,36.2,5.0,2,1,2,1,2.5,1,1,6.0,0,0,0.0,367.0,1
2,32.7,5.5,2,1,11,4,5.5,1,1,12.0,1,0,408.0,1000.0,1
2,48.6,6.5,2,1,11,4,6.0,1,0,0.0,1,0,350.0,0.0,1
2,39.9,0.5,3,3,1,8,0.5,1,1,3.0,0,0,200.0,1000.0,1
2,33.6,2.8,2,1,10,8,4.2,1,1,6.0,0,0,204.0,0.0,1
1,18.8,9.5,2,1,13,8,1.6,1,1,6.0,1,0,40.0,600.0,1
1,26.9,13.5,2,1,11,4,5.0,1,1,2.0,0,0,0.0,5000.0,1
1,31.2,3.8,2,1,3,4,0.6,1,1,9.0,1,0,181.0,0.0,1
1,56.5,16.0,2,1,8,3,0.0,1,1,15.0,0,0,0.0,247.0,1
2,43.0,0.3,3,3,3,4,1.8,1,1,8.0,0,0,100.0,375.0,1
2,22.3,11.0,2,1,13,8,2.0,1,1,1.0,0,0,80.0,278.0,1
2,27.2,1.7,2,1,3,4,5.1,1,1,9.0,0,0,399.0,827.0,1
2,32.8,2.5,2,1,3,4,2.8,1,1,6.0,0,0,160.0,2072.0,1
2,23.2,1.5,2,1,11,8,2.4,1,1,3.0,1,0,0.0,582.0,1
1,40.3,7.5,3,3,11,4,8.0,1,1,14.0,0,0,0.0,2300.0,1
1,30.5,6.5,2,1,2,1,4.0,1,1,7.0,1,0,0.0,3065.0,1
1,52.8,15.0,2,1,2,8,5.5,1,1,14.0,0,0,0.0,2200.0,1
1,46.7,0.5,2,1,3,4,0.4,1,1,11.0,1,0,440.0,6.0,1
1,58.3,10.0,2,1,11,8,4.0,1,1,14.0,0,0,0.0,1602.0,1
2,37.3,6.5,2,1,10,4,4.2,1,1,12.0,1,0,93.0,0.0,1
2,23.1,2.5,2,1,2,8,1.1,1,1,11.0,1,0,60.0,2184.0,1
2,32.8,1.5,2,1,3,4,5.5,1,1,3.0,1,0,0.0,0.0,1
1,21.7,11.5,3,3,8,5,0.0,1,1,11.0,1,0,0.0,0.0,1
1,28.5,3.0,3,3,14,4,2.5,1,1,1.0,0,0,70.0,0.0,1
1,68.7,15.0,2,1,5,9,0.0,1,1,14.0,0,0,0.0,3376.0,1
2,28.0,2.0,2,1,9,4,4.2,1,1,2.0,1,0,181.0,0.0,1
2,34.1,0.1,3,3,10,1,0.0,1,1,1.0,1,0,280.0,2000.0,1
2,27.7,2.0,2,1,14,4,1.0,1,1,4.0,0,0,140.0,7544.0,1
2,44.0,2.0,2,1,10,8,1.8,1,1,2.0,1,0,0.0,15.0,1
2,25.1,1.7,2,1,14,8,1.7,1,1,1.0,1,0,395.0,20.0,1
2,32.0,1.8,3,3,5,4,0.0,1,0,0.0,1,0,393.0,0.0,1
1,60.6,16.5,2,1,11,8,11.0,1,0,0.0,1,0,21.0,10561.0,1
1,40.8,10.0,2,1,11,4,1.8,1,0,0.0,0,0,29.0,837.0,1
2,19.3,9.5,2,1,11,8,1.0,1,0,0.0,1,0,60.0,400.0,1
1,32.3,0.5,2,1,3,8,0.0,1,0,0.0,0,0,440.0,11177.0,1
2,36.7,3.2,2,1,11,4,9.0,1,0,0.0,1,0,102.0,639.0,1
2,37.5,1.1,3,3,4,8,1.5,0,0,0.0,1,0,431.0,0.0,1
1,25.1,2.5,3,3,1,8,0.2,1,0,0.0,1,0,370.0,0.0,1
2,41.3,0.0,2,1,2,1,15.0,1,0,0.0,0,0,0.0,0.0,1
2,56.0,12.5,2,1,9,4,8.0,1,0,0.0,1,0,24.0,2028.0,1
1,49.8,13.6,2,1,9,4,8.5,1,0,0.0,1,0,0.0,0.0,1
2,22.7,10.5,2,1,11,4,1.3,1,0,0.0,0,0,100.0,0.0,1
2,27.0,1.5,3,3,13,8,0.4,1,0,0.0,1,0,260.0,1065.0,1
2,25.0,12.5,2,1,1,8,3.0,1,0,0.0,1,2,20.0,0.0,1
1,26.1,8.7,2,1,1,8,1.4,1,0,0.0,0,0,160.0,150.0,1
1,18.4,9.2,2,1,11,8,1.2,1,1,4.0,0,0,60.0,540.0,1
2,20.2,8.2,2,1,1,8,2.0,1,1,14.0,0,0,60.0,158.0,1
2,47.7,0.3,2,1,2,1,15.0,1,1,20.0,0,0,0.0,15000.0,1
1,21.2,2.3,2,1,7,1,0.5,1,1,4.0,0,2,80.0,0.0,1
1,20.7,3.0,2,1,11,8,0.2,1,1,3.0,0,0,100.0,6.0,1
1,57.1,19.5,2,1,2,8,5.5,1,1,7.0,0,0,0.0,3000.0,1
1,22.4,5.7,2,1,11,8,2.6,1,1,7.0,0,0,129.0,3257.0,1
2,48.8,8.5,2,1,2,4,12.5,1,1,9.0,0,0,181.0,1655.0,1
2,40.0,6.5,2,1,1,1,3.5,1,1,1.0,0,0,0.0,500.0,1
2,40.6,5.0,2,1,2,8,5.0,1,1,7.0,0,0,0.0,3065.0,1
1,28.7,1.0,2,1,2,8,2.5,1,1,5.0,1,0,300.0,1430.0,1
1,33.1,4.6,2,1,11,4,1.6,1,1,2.0,0,0,0.0,0.0,1
2,21.3,10.5,2,1,2,8,3.0,1,0,0.0,1,0,0.0,0.0,1
2,42.0,0.2,2,1,7,4,5.1,1,0,0.0,0,0,400.0,0.0,1
2,41.8,1.0,2,1,14,8,2.5,1,0,0.0,0,0,510.0,600.0,1
2,22.7,1.6,3,3,13,8,3.1,1,1,6.0,0,0,80.0,0.0,1
2,34.5,4.0,3,3,7,1,8.5,1,1,7.0,1,0,195.0,0.0,1
2,28.2,5.0,3,3,2,1,1.5,1,1,8.0,1,0,144.0,7.0,1
2,33.2,3.2,3,3,14,8,3.2,1,1,3.0,1,0,380.0,0.0,1
2,48.2,7.6,2,1,13,4,15.5,1,1,12.0,0,0,0.0,790.0,1
2,27.6,2.0,3,3,1,8,2.0,1,1,3.0,1,0,370.0,560.0,1
2,22.6,10.0,2,1,14,8,0.0,1,1,9.0,0,0,60.0,396.0,1
1,24.1,0.5,2,1,11,4,1.2,1,1,1.0,0,0,0.0,678.0,1
1,41.3,1.0,2,1,7,1,2.2,1,0,0.0,1,0,0.0,300.0,1
2,24.8,2.8,2,1,2,8,2.2,1,1,6.0,0,0,184.0,600.0,1
1,20.8,10.2,2,1,11,8,0.7,1,1,2.0,1,0,49.0,0.0,1
2,36.3,2.1,3,3,13,8,0.1,1,1,1.0,0,0,50.0,1187.0,1
1,35.4,12.0,2,1,11,4,14.0,1,1,8.0,0,0,0.0,6590.0,1
1,71.6,0.0,0,0,0,0,0.0,0,0,0.0,0,1,184.0,0.0,1
2,28.7,9.3,2,1,11,4,5.7,1,1,6.0,0,0,381.0,168.0,1
2,35.2,2.5,2,1,9,8,4.5,1,1,7.0,0,0,150.0,1270.0,1
2,39.5,4.2,2,1,2,1,6.5,1,1,16.0,0,0,117.0,1210.0,1
2,39.3,5.9,2,1,3,4,10.0,1,1,14.0,1,0,399.0,0.0,1
2,24.3,6.6,3,3,4,8,5.5,1,0,0.0,1,2,100.0,0.0,1
2,60.1,14.5,2,1,6,3,18.0,1,1,15.0,1,0,0.0,1000.0,1
2,23.1,11.5,2,1,7,8,3.5,1,1,9.0,0,0,56.0,742.0,1
2,26.7,2.7,3,3,3,8,5.2,1,1,1.0,0,0,211.0,0.0,1
2,48.2,3.5,2,1,1,8,3.5,1,0,0.0,0,2,230.0,0.0,1
2,41.2,4.0,2,1,3,4,7.0,1,1,8.0,0,0,320.0,0.0,1
2,55.9,11.5,2,1,6,3,5.0,1,1,5.0,0,0,0.0,8851.0,1
2,53.9,9.6,2,1,5,8,8.7,1,1,5.0,0,0,0.0,0.0,1
1,18.9,9.2,3,3,2,8,1.0,1,1,4.0,1,0,80.0,500.0,1
1,50.1,12.5,2,1,1,8,2.3,1,1,3.0,1,0,156.0,0.0,1
2,65.4,11.0,2,1,5,9,20.0,1,1,7.0,1,0,22.0,0.0,1
1,17.6,9.0,2,1,1,8,1.4,1,0,0.0,1,0,0.0,0.0,1
1,18.8,9.5,2,1,1,8,0.1,1,0,0.0,0,0,100.0,0.0,1
1,37.8,5.5,2,1,11,8,0.1,1,0,0.0,1,0,228.0,0.0,1
2,23.2,4.0,2,1,2,1,0.2,1,0,0.0,1,0,160.0,0.0,1
2,18.1,5.5,2,1,9,8,0.5,1,0,0.0,0,0,80.0,0.0,1
1,22.5,8.5,3,3,14,8,2.5,0,0,0.0,0,0,164.0,0.0,1
2,19.7,0.4,2,1,11,8,2.0,1,1,2.0,1,0,80.0,0.0,1
2,22.1,11.0,2,1,3,8,0.7,1,0,0.0,0,0,100.0,0.0,1
2,25.2,3.5,2,1,3,8,0.6,1,1,7.0,0,0,0.0,7059.0,1
1,47.4,3.0,2,1,14,8,13.9,1,1,2.0,1,0,519.0,1704.0,1
2,33.5,1.8,2,1,14,4,4.5,1,1,4.0,1,0,253.0,857.0,1
2,27.7,13.8,2,1,13,8,5.8,1,0,0.0,1,0,487.0,500.0,1
1,58.4,21.0,2,1,7,1,10.0,1,1,13.0,0,0,0.0,6700.0,1
1,20.7,1.8,2,1,11,8,2.1,1,1,5.0,0,0,220.0,2503.0,1
2,26.2,0.2,2,1,7,1,0.0,1,0,0.0,1,0,0.0,0.0,1
2,21.3,7.5,2,1,1,8,1.4,1,1,1.0,0,0,80.0,9800.0,1
2,42.8,4.6,2,1,11,8,4.6,1,0,0.0,0,2,0.0,0.0,1
2,38.2,10.1,2,1,14,8,2.5,1,1,6.0,0,0,520.0,196.0,1
2,20.5,10.0,3,3,2,8,2.5,1,0,0.0,0,2,40.0,0.0,1
2,48.2,25.1,2,1,13,8,1.8,1,1,3.0,0,0,120.0,14.0,1
2,28.3,5.0,2,1,13,8,11.0,1,0,0.0,1,0,70.0,0.0,1
1,18.8,7.5,2,1,11,8,2.7,1,1,5.0,0,0,184.0,26726.0,1
2,18.5,2.0,2,1,7,8,1.5,1,1,2.0,0,0,120.0,300.0,1
2,33.2,3.0,3,3,2,4,2.0,1,1,1.0,1,0,180.0,18027.0,1
2,45.0,8.5,2,1,3,4,14.0,1,1,1.0,1,0,88.0,2000.0,1
1,19.7,0.2,2,1,11,4,0.3,1,1,11.0,0,0,80.0,99.0,1
0,24.5,12.8,2,1,2,1,4.8,1,1,2.0,0,0,73.0,444.0,1
2,21.8,11.0,2,1,14,8,0.3,1,1,6.0,0,0,121.0,0.0,1
2,40.2,21.5,2,1,5,9,20.0,1,1,11.0,0,0,0.0,1200.0,1
2,41.4,5.0,2,1,11,4,5.0,1,1,6.0,1,0,470.0,0.0,1
1,17.8,11.0,2,1,14,4,1.0,1,1,11.0,0,0,0.0,3000.0,1
2,23.2,11.1,2,1,14,4,0.5,1,1,1.0,0,0,100.0,0.0,1
2,31.6,0.6,2,1,9,8,0.2,0,0,0.0,0,0,380.0,2010.0,0
2,18.2,10.2,2,1,2,4,1.1,0,0,0.0,0,0,320.0,13.0,0
2,20.0,11.0,2,1,2,8,2.0,0,0,0.0,1,0,136.0,0.0,0
2,20.0,0.0,2,1,4,8,0.5,0,0,0.0,0,0,144.0,0.0,0
1,20.8,9.5,2,1,7,8,0.0,0,0,0.0,0,0,200.0,1000.0,0
1,24.5,1.8,3,3,2,8,0.2,0,0,0.0,0,0,132.0,0.0,0
2,32.8,2.3,2,1,4,4,5.8,0,0,0.0,1,0,292.0,0.0,0
1,52.2,0.0,3,3,6,3,0.0,0,0,0.0,0,0,0.0,0.0,0
1,48.2,1.3,2,1,7,7,0.3,0,0,0.0,0,0,0.0,120.0,0
1,20.4,10.5,3,3,14,4,0.0,0,0,0.0,1,0,154.0,32.0,0
2,50.8,0.6,2,1,6,3,0.0,0,0,0.0,0,0,145.0,0.0,0
2,17.1,0.1,3,3,2,8,0.0,0,0,0.0,0,0,140.0,722.0,0
2,18.3,1.2,3,3,5,2,0.0,0,0,0.0,0,0,100.0,0.0,0
1,32.0,6.0,2,1,4,8,1.2,0,0,0.0,0,0,272.0,0.0,0
2,59.7,1.5,2,1,11,8,0.1,1,0,0.0,1,0,260.0,0.0,1
2,18.0,0.2,2,1,11,6,0.2,0,0,0.0,0,0,200.0,40.0,1
2,37.6,0.0,0,0,0,0,0.0,0,0,0.0,0,1,184.0,0.0,1
2,32.3,2.5,2,1,2,8,1.2,0,0,0.0,1,0,280.0,0.0,0
2,18.1,6.8,3,3,10,8,0.0,0,0,0.0,0,0,140.0,0.0,0
2,38.2,10.1,3,3,9,8,0.1,0,0,0.0,0,0,160.0,0.0,0
2,30.7,2.5,2,1,3,4,2.2,0,0,0.0,1,2,340.0,0.0,0
2,18.6,5.7,2,1,4,8,0.5,0,0,0.0,0,0,120.0,0.0,0
1,19.2,5.4,2,1,7,4,0.3,0,0,0.0,0,0,80.0,484.0,0
1,18.2,10.0,3,3,11,4,0.2,0,0,0.0,0,0,340.0,0.0,0
2,24.6,13.5,3,3,6,3,0.0,0,0,0.0,0,0,184.0,0.0,0
2,16.2,0.8,2,1,10,8,0.1,1,0,0.0,0,2,200.0,0.0,0
2,21.2,0.9,3,3,2,4,0.2,0,0,0.0,0,0,280.0,204.0,0
2,23.9,0.6,3,3,3,4,0.1,0,0,0.0,0,0,240.0,1.0,0
2,17.7,4.5,2,1,2,8,0.2,0,0,0.0,0,2,80.0,0.0,0
1,16.5,1.2,2,1,11,8,0.2,0,1,1.0,0,0,108.0,98.0,0
2,23.2,12.6,2,1,2,8,0.1,0,1,2.0,0,0,0.0,5552.0,0
2,17.6,10.0,2,1,13,4,0.2,0,1,1.0,0,0,120.0,1.0,0
1,31.6,1.5,2,1,6,3,0.0,0,1,2.0,1,0,200.0,105.0,0
2,29.5,0.6,2,1,13,8,0.3,0,1,1.0,0,0,340.0,2803.0,0
2,18.8,0.4,3,3,2,8,0.2,0,1,1.0,0,0,200.0,1.0,0
1,21.8,1.8,3,3,8,5,0.0,0,0,0.0,0,0,160.0,0.0,0
2,23.0,0.8,2,1,10,8,0.5,0,0,0.0,1,2,320.0,0.0,0
1,18.2,10.0,2,1,13,8,1.0,0,1,1.0,0,0,120.0,1.0,0
2,25.4,0.5,2,1,13,8,0.2,0,1,1.0,0,0,272.0,444.0,0
2,35.8,2.4,2,1,13,8,0.1,0,1,2.0,0,0,220.0,1.0,0
1,16.1,0.3,2,1,6,3,0.0,0,1,1.0,0,0,160.0,126.0,0
1,31.9,3.1,2,1,6,3,3.0,0,1,2.0,1,0,200.0,4.0,0
2,69.2,9.0,2,1,6,3,4.0,0,1,1.0,0,0,70.0,6.0,0
2,32.9,2.5,2,1,1,8,1.8,0,1,2.0,1,0,720.0,0.0,0
2,16.3,2.8,2,1,1,8,0.7,0,1,1.0,0,0,80.0,21.0,0
2,22.2,12.1,2,1,2,8,3.3,0,1,2.0,1,0,180.0,173.0,0
1,57.6,2.0,2,1,6,3,6.5,0,1,1.0,0,0,0.0,10.0,0
2,18.2,0.2,2,1,4,8,0.2,0,0,0.0,1,2,280.0,0.0,0
2,23.4,1.0,2,1,2,8,0.5,0,0,0.0,1,2,280.0,0.0,0
1,15.9,2.9,2,1,11,8,0.1,0,0,0.0,0,0,120.0,0.0,0
1,24.8,13.7,2,1,11,4,1.5,0,0,0.0,0,0,280.0,1.0,0
2,48.8,26.3,3,3,6,3,0.0,1,0,0.0,1,0,0.0,0.0,0
2,23.5,2.8,2,1,6,3,4.5,0,0,0.0,0,0,160.0,25.0,0
2,18.6,10.3,2,1,6,3,0.4,0,0,0.0,0,0,80.0,0.0,0
2,27.8,1.3,2,1,9,4,0.2,0,0,0.0,1,2,140.0,0.0,0
1,31.8,3.0,3,3,8,5,0.0,0,0,0.0,0,0,160.0,20.0,0
1,24.8,4.5,2,1,13,8,1.0,0,0,0.0,1,0,360.0,6.0,0
2,19.0,1.8,3,3,2,8,2.3,0,0,0.0,1,0,112.0,6.0,0
1,16.3,0.2,2,1,1,8,0.1,0,0,0.0,0,0,200.0,1.0,0
1,18.6,10.0,2,1,4,8,0.4,0,0,0.0,0,0,80.0,42.0,0
