Abbrev,Rep,Locality,Map_Ref,Latitude,Altitude,Rainfall,Frosts,Sp,PMCno,DBH,Ht,Surv,Vig,Ins_res,Stem_Fm,Crown_Fm,Brnch_Fm,cls
1,3.0,0,1,1,100.0,850.0,-2.0,17,1521.0,8.8,5.8,50.0,2.5,2.0,3.2,3.3,3.0,2
1,3.0,0,1,1,100.0,850.0,-2.0,19,1523.0,17.2,10.0,90.0,4.3,4.5,3.5,4.0,3.3,0
1,3.0,0,1,1,100.0,850.0,-2.0,21,1524.0,12.4,5.6,80.0,3.0,2.5,2.0,2.0,2.0,2
1,3.0,0,1,1,100.0,850.0,-2.0,24,1525.0,14.8,7.8,30.0,4.0,4.0,4.0,2.5,2.0,0
0,1.0,4,0,0,200.0,1400.0,-2.0,8,1487.0,28.0,8.6,59.7,2.3,4.0,2.0,2.0,2.0,3
0,1.0,4,0,0,200.0,1400.0,-2.0,14,1596.0,26.0,9.6,59.7,4.0,4.0,3.0,4.0,2.7,4
0,1.0,4,0,0,200.0,1400.0,-2.0,15,2088.0,33.4,8.4,59.7,4.0,2.8,2.5,1.5,1.5,2
0,1.0,4,0,0,200.0,1400.0,-2.0,17,1521.0,33.3,13.3,59.7,4.0,2.3,3.3,2.0,1.0,0
0,1.0,4,0,0,200.0,1400.0,-2.0,19,1523.0,33.1,12.3,59.7,4.0,4.0,3.5,4.0,2.7,0
0,1.0,4,0,0,200.0,1400.0,-2.0,21,1524.0,12.8,8.8,59.7,2.5,3.0,3.3,4.0,4.0,3
0,2.0,4,0,0,200.0,1400.0,-2.0,4,1520.0,25.9,12.1,59.7,3.3,3.0,4.0,3.5,3.5,0
0,2.0,4,0,0,200.0,1400.0,-2.0,8,1487.0,26.9,9.9,59.7,3.3,4.0,3.0,3.5,3.0,0
0,2.0,4,0,0,200.0,1400.0,-2.0,12,1362.0,11.9,8.2,59.7,2.0,4.0,4.0,4.0,4.0,3
0,2.0,4,0,0,200.0,1400.0,-2.0,14,1596.0,24.4,10.5,59.7,4.5,4.0,4.3,3.7,3.3,4
0,2.0,4,0,0,200.0,1400.0,-2.0,15,2088.0,31.7,11.7,59.7,4.0,2.5,3.0,3.0,2.0,0
0,2.0,4,0,0,200.0,1400.0,-2.0,16,1522.0,39.7,13.8,59.7,5.0,4.0,3.3,3.0,2.0,4
0,2.0,4,0,0,200.0,1400.0,-2.0,17,1521.0,31.4,13.3,59.7,4.3,2.7,4.0,3.5,3.3,4
0,2.0,4,0,0,200.0,1400.0,-2.0,19,1523.0,31.7,10.0,59.7,4.5,4.0,3.5,3.5,3.0,4
0,2.0,4,0,0,200.0,1400.0,-2.0,21,1524.0,23.4,10.3,59.7,3.3,3.0,3.0,4.0,4.0,0
0,3.0,4,0,0,200.0,1400.0,-2.0,4,1520.0,14.0,5.6,59.7,2.0,4.0,3.0,4.0,3.0,3
0,3.0,4,0,0,200.0,1400.0,-2.0,8,1487.0,3.1,9.9,59.7,3.0,4.0,2.0,2.0,1.0,0
0,3.0,4,0,0,200.0,1400.0,-2.0,12,1362.0,26.5,11.0,59.7,3.5,3.5,3.7,4.0,3.7,0
0,3.0,4,0,0,200.0,1400.0,-2.0,14,1596.0,24.4,7.8,59.7,3.0,3.5,3.3,3.3,3.3,0
0,3.0,4,0,0,200.0,1400.0,-2.0,15,2088.0,33.0,12.5,59.7,5.0,2.5,4.0,3.0,2.0,0
0,3.0,4,0,0,200.0,1400.0,-2.0,16,1522.0,30.5,12.1,59.7,4.5,4.0,3.5,3.5,2.5,4
0,3.0,4,0,0,200.0,1400.0,-2.0,17,1521.0,10.0,7.5,59.7,2.0,2.0,3.0,4.0,4.0,3
0,3.0,4,0,0,200.0,1400.0,-2.0,19,1523.0,39.6,10.6,59.7,4.0,4.5,3.0,3.0,1.0,4
0,3.0,4,0,0,200.0,1400.0,-2.0,21,1524.0,22.7,11.5,59.7,3.0,2.5,3.5,3.5,2.8,0
8,1.0,6,4,5,130.0,1000.0,-3.0,4,1520.0,10.1,8.2,60.0,3.0,4.0,3.5,3.5,3.2,2
8,1.0,6,4,5,130.0,1000.0,-3.0,12,1362.0,4.7,5.5,20.0,1.0,1.5,2.0,3.0,3.0,1
8,1.0,6,4,5,130.0,1000.0,-3.0,14,1596.0,17.0,12.6,50.0,4.3,4.0,3.2,4.0,3.5,0
8,1.0,6,4,5,130.0,1000.0,-3.0,15,2088.0,10.3,9.4,80.0,3.0,2.5,3.0,3.0,3.0,0
8,1.0,6,4,5,130.0,1000.0,-3.0,16,1522.0,21.6,12.0,40.0,4.0,3.7,3.5,3.5,3.0,0
8,1.0,6,4,5,130.0,1000.0,-3.0,17,1521.0,11.3,10.0,40.0,2.7,2.0,3.2,4.0,3.0,2
8,1.0,6,4,5,130.0,1000.0,-3.0,19,1523.0,12.7,9.3,80.0,2.9,4.0,3.2,3.9,3.4,0
8,1.0,6,4,5,130.0,1000.0,-3.0,21,1524.0,5.4,4.5,20.0,1.0,2.0,3.0,3.0,3.0,1
8,2.0,6,4,5,130.0,1000.0,-3.0,4,1520.0,6.8,5.5,60.0,2.5,3.5,3.5,3.5,3.0,3
8,2.0,6,4,5,130.0,1000.0,-3.0,8,1487.0,17.8,10.0,10.0,4.0,4.0,3.5,4.0,2.0,0
8,2.0,6,4,5,130.0,1000.0,-3.0,14,1596.0,20.4,10.2,60.0,4.0,4.0,3.0,3.0,2.5,0
8,2.0,6,4,5,130.0,1000.0,-3.0,15,2088.0,19.1,9.7,60.0,3.7,3.0,2.0,2.0,1.5,0
8,2.0,6,4,5,130.0,1000.0,-3.0,16,1522.0,15.5,9.8,40.0,4.0,3.5,3.5,3.5,3.0,0
8,2.0,6,4,5,130.0,1000.0,-3.0,17,1521.0,13.5,7.7,30.0,3.0,2.0,3.3,4.0,3.5,0
8,2.0,6,4,5,130.0,1000.0,-3.0,19,1523.0,20.8,12.0,20.0,3.0,4.0,3.0,3.5,3.0,2
8,2.0,6,4,5,130.0,1000.0,-3.0,21,1524.0,11.5,5.8,40.0,1.5,2.0,2.5,3.5,2.5,1
8,3.0,6,4,5,130.0,1000.0,-3.0,8,1487.0,37.6,13.0,10.0,5.0,4.0,2.0,2.0,1.0,0
8,3.0,6,4,5,130.0,1000.0,-3.0,14,1596.0,24.5,12.0,20.0,4.0,4.0,4.0,4.0,2.0,0
8,3.0,6,4,5,130.0,1000.0,-3.0,15,2088.0,17.6,9.0,90.0,4.5,2.5,3.0,2.0,1.5,0
8,3.0,6,4,5,130.0,1000.0,-3.0,17,1521.0,16.2,10.2,60.0,4.0,2.3,3.0,3.3,3.0,4
8,3.0,6,4,5,130.0,1000.0,-3.0,19,1523.0,11.5,9.0,20.0,2.7,3.7,4.0,4.0,3.0,0
8,3.0,6,4,5,130.0,1000.0,-3.0,21,1524.0,7.6,5.5,20.0,1.0,2.0,2.0,3.0,3.0,1
13,1.0,1,3,3,70.0,1000.0,-2.0,0,1094.0,3.4,5.5,50.0,1.0,1.0,3.0,3.0,3.0,1
13,1.0,1,3,3,70.0,1000.0,-2.0,3,1111.0,17.6,12.6,71.0,3.5,3.0,3.3,2.5,2.0,0
13,1.0,1,3,3,70.0,1000.0,-2.0,2,1112.0,14.0,10.0,100.0,2.5,1.5,3.0,4.0,4.0,3
13,1.0,1,3,3,70.0,1000.0,-2.0,2,1113.0,8.8,11.4,100.0,2.0,2.0,4.0,4.0,4.0,3
13,1.0,1,3,3,70.0,1000.0,-2.0,6,1338.0,15.8,10.0,38.0,3.5,3.5,3.3,3.5,3.0,2
13,1.0,1,3,3,70.0,1000.0,-2.0,7,1482.0,15.5,10.5,50.0,3.0,3.3,3.3,3.0,3.0,4
13,1.0,1,3,3,70.0,1000.0,-2.0,7,1978.0,14.6,11.1,100.0,4.0,3.0,3.5,3.5,3.3,0
13,1.0,1,3,3,70.0,1000.0,-2.0,8,1339.0,17.3,13.2,71.0,3.3,3.0,3.0,3.0,3.0,2
13,1.0,1,3,3,70.0,1000.0,-2.0,8,1786.0,13.3,10.8,75.0,4.0,3.8,4.0,4.0,4.0,4
13,1.0,1,3,3,70.0,1000.0,-2.0,8,2447.0,19.8,10.7,75.0,4.5,3.0,3.0,3.0,2.5,0
13,1.0,1,3,3,70.0,1000.0,-2.0,9,1595.0,5.2,4.3,75.0,0.5,0.5,4.0,4.0,4.0,1
13,1.0,1,3,3,70.0,1000.0,-2.0,10,1171.0,15.0,11.3,88.0,2.3,1.7,3.0,3.0,2.0,3
13,1.0,1,3,3,70.0,1000.0,-2.0,14,1596.0,15.3,10.8,75.0,3.0,3.0,3.0,4.0,3.5,4
13,1.0,1,3,3,70.0,1000.0,-2.0,16,2459.0,19.0,16.0,88.0,4.3,3.0,4.8,4.0,4.0,4
13,1.0,1,3,3,70.0,1000.0,-2.0,17,1785.0,7.2,6.0,50.0,1.3,1.3,4.0,4.0,4.0,1
13,1.0,1,3,3,70.0,1000.0,-2.0,19,1598.0,15.9,12.8,100.0,4.0,4.0,3.3,4.0,3.0,4
13,1.0,1,3,3,70.0,1000.0,-2.0,22,1787.0,18.1,14.8,100.0,4.6,4.0,4.3,4.3,4.0,4
13,1.0,1,3,3,70.0,1000.0,-2.0,22,2482.0,17.0,14.1,88.0,4.5,3.0,3.7,3.7,3.7,4
13,1.0,1,3,3,70.0,1000.0,-2.0,22,2431.0,26.1,16.0,38.0,5.0,3.0,4.0,4.0,2.7,4
13,1.0,1,3,3,70.0,1000.0,-2.0,21,1524.0,12.2,13.8,50.0,2.0,1.5,3.0,3.0,3.0,3
13,1.0,1,3,3,70.0,1000.0,-2.0,25,1340.0,9.3,4.3,63.0,1.0,1.2,1.0,1.0,1.0,1
13,1.0,1,3,3,70.0,1000.0,-2.0,22,2428.0,22.6,13.4,100.0,5.0,3.0,2.3,2.7,2.0,4
13,2.0,1,3,3,70.0,1000.0,-2.0,0,1094.0,7.8,7.4,63.0,1.0,1.0,3.0,3.0,3.0,1
13,2.0,1,3,3,70.0,1000.0,-2.0,3,1111.0,16.4,13.3,100.0,4.5,3.0,3.3,3.3,2.7,0
13,2.0,1,3,3,70.0,1000.0,-2.0,2,1112.0,11.9,9.7,100.0,2.3,1.8,3.0,3.5,3.2,3
13,2.0,1,3,3,70.0,1000.0,-2.0,2,1113.0,10.4,9.4,88.0,2.0,1.7,4.0,4.0,4.0,3
13,2.0,1,3,3,70.0,1000.0,-2.0,6,1338.0,13.5,10.0,13.0,3.0,4.0,3.0,4.0,3.3,3
13,2.0,1,3,3,70.0,1000.0,-2.0,7,1482.0,23.0,11.0,13.0,3.0,3.5,2.0,1.0,1.0,2
13,2.0,1,3,3,70.0,1000.0,-2.0,7,1978.0,23.7,12.6,88.0,5.0,3.3,3.0,2.0,2.0,0
13,2.0,1,3,3,70.0,1000.0,-2.0,8,1339.0,33.8,16.0,50.0,5.0,3.0,2.0,2.0,0.5,0
13,2.0,1,3,3,70.0,1000.0,-2.0,8,1786.0,17.0,15.3,75.0,4.7,4.0,3.5,4.0,4.0,4
13,2.0,1,3,3,70.0,1000.0,-2.0,8,2447.0,20.8,12.6,63.0,4.0,3.0,3.3,3.5,3.5,0
13,2.0,1,3,3,70.0,1000.0,-2.0,9,1595.0,6.5,4.4,63.0,0.5,0.5,4.0,4.5,4.0,1
13,2.0,1,3,3,70.0,1000.0,-2.0,10,1171.0,10.4,6.4,75.0,1.7,1.5,0.0,0.0,0.0,1
13,2.0,1,3,3,70.0,1000.0,-2.0,14,1596.0,12.6,8.0,37.0,2.5,3.5,4.0,4.0,4.0,2
13,2.0,1,3,3,70.0,1000.0,-2.0,16,1337.0,22.2,14.6,63.0,5.0,3.0,4.0,4.0,3.2,4
13,2.0,1,3,3,70.0,1000.0,-2.0,16,2459.0,19.6,15.4,100.0,5.0,3.0,5.0,4.3,3.0,4
13,2.0,1,3,3,70.0,1000.0,-2.0,17,1785.0,9.8,7.5,75.0,1.7,1.3,3.3,4.0,3.5,3
13,2.0,1,3,3,70.0,1000.0,-2.0,19,1598.0,15.2,14.4,100.0,4.5,4.0,3.0,4.0,3.0,0
13,2.0,1,3,3,70.0,1000.0,-2.0,22,1787.0,19.6,16.6,100.0,5.0,3.0,4.0,4.0,3.0,4
13,2.0,1,3,3,70.0,1000.0,-2.0,22,2482.0,17.0,14.1,88.0,4.5,3.0,3.7,3.7,3.7,4
13,2.0,1,3,3,70.0,1000.0,-2.0,22,2431.0,26.0,14.0,88.0,5.0,3.5,3.5,4.0,3.3,4
13,2.0,1,3,3,70.0,1000.0,-2.0,23,1192.0,8.9,5.2,63.0,2.5,1.8,3.0,3.0,3.0,1
13,2.0,1,3,3,70.0,1000.0,-2.0,21,1524.0,10.3,7.8,100.0,2.3,2.0,3.0,3.0,3.0,3
13,22.0,1,3,3,70.0,1000.0,-2.0,24,2435.0,19.6,12.3,75.0,3.3,3.0,3.3,3.5,3.5,4
13,2.0,1,3,3,70.0,1000.0,-2.0,25,1340.0,20.1,6.9,88.0,3.0,2.5,1.0,0.5,0.0,3
13,3.0,1,3,3,70.0,1000.0,-2.0,0,1094.0,13.5,4.0,13.0,0.5,0.0,1.0,1.0,1.0,1
13,3.0,1,3,3,70.0,1000.0,-2.0,3,1111.0,14.2,10.8,100.0,3.0,2.8,3.3,3.3,3.0,0
13,3.0,1,3,3,70.0,1000.0,-2.0,2,1112.0,13.1,10.6,88.0,2.0,2.0,3.0,3.0,3.0,1
13,3.0,1,3,3,70.0,1000.0,-2.0,2,1113.0,9.6,7.0,100.0,2.6,2.0,3.0,3.0,3.0,3
13,3.0,1,3,3,70.0,1000.0,-2.0,6,1338.0,18.9,9.0,13.0,2.0,3.5,3.0,3.5,3.0,1
13,3.0,1,3,3,70.0,1000.0,-2.0,7,1482.0,20.0,13.2,75.0,4.5,3.0,4.0,4.0,4.0,4
13,3.0,1,3,3,70.0,1000.0,-2.0,7,1978.0,26.6,13.5,75.0,5.0,3.0,2.5,2.0,1.0,0
13,3.0,1,3,3,70.0,1000.0,-2.0,8,1339.0,23.9,12.7,37.0,4.0,3.0,3.0,3.0,3.0,0
13,3.0,1,3,3,70.0,1000.0,-2.0,8,1786.0,17.8,12.2,63.0,4.7,3.1,3.0,3.0,3.0,0
13,3.0,1,3,3,70.0,1000.0,-2.0,8,2447.0,21.4,12.7,75.0,4.6,4.0,3.0,3.0,3.0,4
13,3.0,1,3,3,70.0,1000.0,-2.0,9,1595.0,7.8,5.3,50.0,1.0,1.5,4.0,4.0,4.0,1
13,3.0,1,3,3,70.0,1000.0,-2.0,10,1171.0,13.1,10.1,100.0,2.0,2.0,2.0,2.0,2.0,3
13,3.0,1,3,3,70.0,1000.0,-2.0,14,1596.0,15.1,12.3,88.0,3.5,3.0,3.3,4.0,4.0,4
13,3.0,1,3,3,70.0,1000.0,-2.0,16,1337.0,24.5,13.5,75.0,5.0,3.0,4.0,4.0,2.5,4
13,3.0,1,3,3,70.0,1000.0,-2.0,16,2459.0,23.7,13.3,88.0,5.0,3.0,3.5,3.5,2.5,4
13,3.0,1,3,3,70.0,1000.0,-2.0,17,1785.0,10.5,7.6,88.0,2.3,2.0,3.0,3.5,3.0,3
13,3.0,1,3,3,70.0,1000.0,-2.0,19,1598.0,14.0,10.3,100.0,3.5,4.0,2.0,3.0,2.0,2
13,3.0,1,3,3,70.0,1000.0,-2.0,22,1787.0,21.8,13.8,100.0,5.0,3.0,3.0,3.0,2.0,4
13,3.0,1,3,3,70.0,1000.0,-2.0,22,2482.0,16.4,12.1,88.0,4.8,3.0,3.3,3.5,2.0,4
13,3.0,1,3,3,70.0,1000.0,-2.0,22,2431.0,17.6,12.4,100.0,3.5,3.3,3.0,3.0,2.0,0
13,3.0,1,3,3,70.0,1000.0,-2.0,23,1192.0,12.2,4.4,75.0,3.0,2.0,3.0,2.5,2.5,3
13,3.0,1,3,3,70.0,1000.0,-2.0,21,1524.0,9.0,6.8,100.0,2.0,1.5,2.0,4.0,3.5,1
13,3.0,1,3,3,70.0,1000.0,-2.0,24,2435.0,20.3,13.6,63.0,4.0,2.7,3.0,2.5,2.0,0
13,3.0,1,3,3,70.0,1000.0,-2.0,25,1340.0,8.8,6.3,100.0,2.0,2.0,1.0,2.0,2.0,1
2,1.0,3,9,7,180.0,1080.0,-3.0,0,1094.0,2.9,3.2,25.0,2.0,2.0,2.0,2.0,2.0,1
2,1.0,3,9,7,180.0,1080.0,-3.0,3,1111.0,4.5,4.1,44.0,2.5,3.0,3.0,3.0,3.0,3
2,1.0,3,9,7,180.0,1080.0,-3.0,2,1112.0,9.9,6.7,100.0,3.5,2.0,3.0,4.0,3.0,4
2,1.0,3,9,7,180.0,1080.0,-3.0,9,1595.0,5.3,3.0,75.0,2.7,1.0,3.0,4.0,4.0,3
2,1.0,3,9,7,180.0,1080.0,-3.0,8,1339.0,3.3,4.1,75.0,2.0,3.0,3.0,3.0,3.0,3
2,1.0,3,9,7,180.0,1080.0,-3.0,8,2447.0,7.6,5.4,100.0,3.0,3.0,3.0,3.5,3.0,0
2,1.0,3,9,7,180.0,1080.0,-3.0,8,1786.0,6.0,5.4,88.0,4.0,4.0,3.5,3.5,3.5,0
2,1.0,3,9,7,180.0,1080.0,-3.0,14,1596.0,6.4,5.1,88.0,3.0,4.0,3.5,4.0,4.0,4
2,1.0,3,9,7,180.0,1080.0,-3.0,10,1171.0,6.2,4.3,40.0,3.0,2.0,1.0,1.0,1.0,3
2,1.0,3,9,7,180.0,1080.0,-3.0,16,2469.0,19.9,7.4,13.0,2.0,2.5,3.0,3.0,3.0,3
2,1.0,3,9,7,180.0,1080.0,-3.0,17,1785.0,3.9,3.9,63.0,2.5,1.5,3.0,4.0,3.0,2
2,1.0,3,9,7,180.0,1080.0,-3.0,19,1598.0,10.8,9.3,88.0,4.0,4.0,4.0,4.0,4.0,4
2,1.0,3,9,7,180.0,1080.0,-3.0,22,2428.0,3.6,5.0,63.0,4.0,3.5,4.0,4.0,3.5,0
2,1.0,3,9,7,180.0,1080.0,-3.0,22,2431.0,6.1,5.9,75.0,4.0,3.0,4.0,4.0,4.0,4
2,1.0,3,9,7,180.0,1080.0,-3.0,22,1787.0,5.3,4.9,38.0,3.5,3.0,4.0,4.0,4.0,0
2,1.0,3,9,7,180.0,1080.0,-3.0,24,2435.0,14.9,9.4,63.0,4.0,3.0,3.0,2.5,2.5,0
2,1.0,3,9,7,180.0,1080.0,-3.0,21,1524.0,3.2,3.7,50.0,1.5,2.0,2.0,4.0,4.0,3
2,1.0,3,9,7,180.0,1080.0,-3.0,25,1340.0,5.9,6.5,100.0,1.8,1.8,2.0,2.0,3.0,3
2,1.0,3,9,7,180.0,1080.0,-3.0,13,1780.0,6.2,4.8,25.0,2.5,4.0,3.0,3.0,3.0,3
2,2.0,3,9,7,180.0,1080.0,-3.0,0,1094.0,1.0,2.2,13.0,2.0,2.0,2.0,2.0,2.0,1
2,2.0,3,9,7,180.0,1080.0,-3.0,3,1111.0,6.3,4.6,100.0,3.0,2.5,2.0,2.0,2.5,2
2,2.0,3,9,7,180.0,1080.0,-3.0,2,1112.0,11.4,7.8,88.0,3.0,2.0,3.5,4.0,4.0,4
2,2.0,3,9,7,180.0,1080.0,-3.0,2,1113.0,4.0,4.0,75.0,3.0,2.0,3.0,4.0,3.0,2
2,2.0,3,9,7,180.0,1080.0,-3.0,9,1595.0,2.8,2.9,75.0,2.5,1.8,3.2,3.5,3.5,3
2,2.0,3,9,7,180.0,1080.0,-3.0,6,1338.0,6.1,5.9,63.0,3.0,3.0,2.0,2.0,2.5,3
2,2.0,3,9,7,180.0,1080.0,-3.0,7,1978.0,4.0,4.7,50.0,2.5,3.0,3.5,3.5,3.5,2
2,2.0,3,9,7,180.0,1080.0,-3.0,7,1482.0,11.0,6.2,38.0,3.5,3.5,3.0,2.5,2.0,2
2,2.0,3,9,7,180.0,1080.0,-3.0,8,1339.0,12.5,10.1,63.0,4.5,3.0,3.5,3.5,3.5,4
2,2.0,3,9,7,180.0,1080.0,-3.0,8,2447.0,10.0,6.8,88.0,4.0,3.0,3.5,3.0,2.5,0
2,2.0,3,9,7,180.0,1080.0,-3.0,8,1786.0,17.7,10.0,100.0,5.0,3.0,3.0,2.5,2.0,4
2,2.0,3,9,7,180.0,1080.0,-3.0,14,1596.0,2.7,3.8,100.0,2.5,4.0,3.5,4.5,4.0,0
2,2.0,3,9,7,180.0,1080.0,-3.0,10,1171.0,2.8,2.9,75.0,2.0,2.0,2.0,2.0,3.0,3
2,2.0,3,9,7,180.0,1080.0,-3.0,16,2469.0,9.9,8.9,88.0,4.0,3.0,3.5,3.5,3.5,0
2,2.0,3,9,7,180.0,1080.0,-3.0,16,1337.0,8.6,8.2,100.0,4.0,3.0,3.5,3.5,3.5,0
2,2.0,3,9,7,180.0,1080.0,-3.0,17,1785.0,4.4,4.0,88.0,1.5,1.5,2.0,2.0,3.0,1
2,2.0,3,9,7,180.0,1080.0,-3.0,19,1598.0,7.9,7.8,100.0,3.5,4.0,2.5,4.0,3.3,4
2,2.0,3,9,7,180.0,1080.0,-3.0,22,2428.0,6.5,6.4,38.0,4.0,3.5,4.0,4.0,3.5,0
2,2.0,3,9,7,180.0,1080.0,-3.0,22,2431.0,6.3,6.7,100.0,4.0,3.0,4.0,4.0,3.5,0
2,2.0,3,9,7,180.0,1080.0,-3.0,22,1787.0,11.6,8.4,63.0,4.0,3.5,4.0,4.0,3.5,4
2,2.0,3,9,7,180.0,1080.0,-3.0,24,2435.0,3.6,4.3,25.0,3.0,3.0,3.0,3.0,3.0,2
2,2.0,3,9,7,180.0,1080.0,-3.0,21,1524.0,2.6,3.1,75.0,2.0,2.0,2.0,4.0,3.0,3
2,2.0,3,9,7,180.0,1080.0,-3.0,25,1340.0,5.4,5.7,100.0,1.5,1.0,1.5,1.5,2.0,1
2,2.0,3,9,7,180.0,1080.0,-3.0,13,1780.0,2.6,3.6,38.0,1.0,2.0,2.0,2.0,3.0,1
2,3.0,3,9,7,180.0,1080.0,-3.0,0,1094.0,5.3,5.5,63.0,2.0,1.5,2.0,2.0,2.0,1
2,3.0,3,9,7,180.0,1080.0,-3.0,3,1111.0,4.9,4.1,88.0,3.5,2.5,2.0,2.0,2.0,2
2,3.0,3,9,7,180.0,1080.0,-3.0,2,1112.0,7.8,6.7,100.0,3.0,1.8,3.5,4.0,4.0,0
2,3.0,3,9,7,180.0,1080.0,-3.0,2,1113.0,4.6,4.1,88.0,3.0,2.0,2.5,3.5,3.0,2
2,3.0,3,9,7,180.0,1080.0,-3.0,9,1595.0,2.3,2.7,75.0,2.5,1.5,3.0,4.0,4.0,3
2,3.0,3,9,7,180.0,1080.0,-3.0,6,1338.0,7.3,7.4,63.0,4.0,3.0,3.3,3.3,3.0,0
2,3.0,3,9,7,180.0,1080.0,-3.0,7,1978.0,16.5,9.9,100.0,5.0,3.3,3.3,2.5,2.0,4
2,3.0,3,9,7,180.0,1080.0,-3.0,7,1482.0,10.5,7.8,88.0,4.0,3.3,3.3,3.5,3.5,0
2,3.0,3,9,7,180.0,1080.0,-3.0,8,1339.0,3.8,4.7,100.0,3.0,2.7,3.0,3.0,3.5,0
2,3.0,3,9,7,180.0,1080.0,-3.0,8,2447.0,11.6,8.4,100.0,4.0,3.0,3.5,3.5,3.5,4
2,3.0,3,9,7,180.0,1080.0,-3.0,8,1786.0,13.7,8.8,100.0,4.8,3.0,3.5,3.5,3.0,4
2,3.0,3,9,7,180.0,1080.0,-3.0,14,1596.0,7.0,6.0,88.0,3.5,2.7,3.5,4.0,4.0,4
2,3.0,3,9,7,180.0,1080.0,-3.0,10,1171.0,72.9,9.3,59.7,2.5,2.0,1.0,1.0,1.0,1
2,3.0,3,9,7,180.0,1080.0,-3.0,16,2469.0,7.7,8.0,88.0,4.5,3.0,4.0,4.0,4.0,4
2,3.0,3,9,7,180.0,1080.0,-3.0,17,1785.0,3.2,3.6,88.0,1.5,1.8,2.5,3.3,3.5,3
2,3.0,3,9,7,180.0,1080.0,-3.0,19,1598.0,6.8,5.6,63.0,3.0,4.0,2.5,3.0,2.0,2
2,3.0,3,9,7,180.0,1080.0,-3.0,22,2428.0,5.2,5.9,75.0,4.0,3.0,4.0,4.0,4.0,4
