V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,cls
1,3,4.4,2,1,8,11,3,16,0,0,12,0
1,3,4.7,0,3,8,8,0,3,4,4,3,0
1,1,5.0,3,5,4,5,0,4,0,0,5,1
1,3,0.0,4,3,16,11,0,4,0,0,11,0
1,1,0.0,4,3,8,11,3,0,4,0,12,0
6,7,4.7,4,5,16,11,0,16,0,0,0,1
1,3,5.0,1,4,16,11,2,16,4,21,1,0
9,1,4.7,1,3,16,11,3,16,4,12,12,0
5,3,5.0,4,3,8,5,3,4,22,0,14,0
11,3,4.6,1,4,8,8,3,0,4,0,11,0
1,1,0.0,4,5,8,7,2,16,4,12,12,0
1,6,4.9,0,4,4,8,0,0,4,0,9,1
1,3,0.0,2,1,8,5,3,0,0,3,12,1
5,1,4.0,2,1,16,11,0,17,4,0,9,1
5,3,5.0,1,1,8,5,3,0,4,13,11,1
0,1,4.6,1,5,10,13,0,4,0,0,12,0
1,1,0.0,0,3,4,11,3,4,0,2,9,1
1,1,4.8,0,5,8,8,3,4,0,18,12,1
4,4,0.0,1,5,7,7,3,4,0,22,12,0
5,3,4.8,1,3,8,7,3,19,0,0,12,0
1,4,0.0,2,3,16,5,0,0,0,0,1,1
1,4,0.0,1,3,16,13,3,19,4,21,12,1
1,1,0.0,1,3,8,11,3,19,0,0,11,0
1,1,0.0,4,5,16,5,3,0,4,21,11,0
11,3,4.8,2,4,8,8,3,0,4,21,11,0
5,3,4.8,0,4,16,5,3,4,8,2,11,1
8,1,4.0,4,4,9,5,0,4,0,23,12,0
1,1,4.7,0,4,16,8,3,0,0,0,11,1
1,3,0.0,4,5,8,7,3,16,22,0,9,1
6,3,4.8,4,4,8,8,0,0,0,0,1,1
12,4,4.6,0,5,13,8,2,4,0,1,12,0
11,1,4.7,0,4,8,8,3,4,0,5,12,0
7,3,4.7,1,3,8,8,2,16,4,21,3,1
1,3,4.6,4,1,8,5,3,4,0,0,12,1
1,4,0.0,4,3,8,11,3,4,3,23,12,1
1,1,4.7,0,1,8,7,0,0,0,13,0,0
5,1,0.0,0,1,16,11,2,0,4,0,9,0
1,3,4.7,4,5,8,11,3,4,8,0,12,1
1,1,0.0,1,1,8,8,2,16,0,2,11,0
7,1,4.8,0,1,12,11,3,0,4,12,12,0
9,1,5.0,1,3,8,7,3,0,0,0,0,1
7,1,4.3,0,5,8,11,3,0,4,0,12,0
1,1,4.5,0,3,8,8,3,4,4,0,9,0
1,3,4.7,0,1,8,5,0,4,4,13,11,0
1,3,4.5,4,1,16,8,3,19,22,13,12,0
10,1,3.6,0,5,16,5,3,16,21,3,12,1
12,1,4.8,0,5,16,8,3,11,3,13,12,0
11,1,0.0,4,4,8,11,0,0,0,0,0,0
5,3,4.6,4,3,8,5,3,0,0,13,7,1
5,3,0.0,4,5,16,11,2,4,4,0,12,1
12,1,4.6,0,3,8,8,2,4,8,0,9,0
1,1,4.4,1,4,8,8,2,0,0,13,9,0
7,3,4.9,1,1,8,8,3,3,4,4,3,0
5,3,4.6,4,4,16,11,3,4,3,3,12,0
9,1,4.4,4,1,16,13,3,0,0,0,12,0
1,1,0.0,4,3,8,8,0,4,0,13,0,1
1,3,0.0,1,4,16,5,3,1,0,13,12,0
5,1,4.6,1,5,8,5,3,16,0,0,9,1
12,1,4.6,1,3,16,5,0,0,4,0,0,0
7,1,4.7,0,5,8,11,3,3,0,13,12,0
6,1,4.7,0,1,8,11,3,0,4,0,12,0
7,2,0.0,1,5,8,13,2,19,4,13,9,0
1,1,0.0,3,5,8,8,2,16,0,5,12,0
3,1,4.9,0,1,8,8,3,16,4,0,11,1
1,3,4.7,1,1,8,5,0,4,0,0,12,0
7,1,4.3,4,4,4,11,0,0,0,0,0,1
5,3,0.0,4,1,12,8,2,0,0,12,12,0
7,3,4.7,3,4,8,8,2,3,4,4,11,0
5,6,4.5,0,3,8,11,0,0,0,13,12,0
1,1,4.7,1,1,8,11,0,4,0,0,1,1
1,1,0.0,0,3,4,11,3,4,0,13,12,1
7,6,4.7,4,4,8,11,0,0,4,0,11,1
1,6,4.4,4,4,15,11,3,4,0,0,12,0
1,1,4.8,0,8,16,8,2,16,0,21,12,0
11,1,4.3,4,8,8,8,0,3,4,0,11,0
7,6,4.5,0,4,8,11,3,4,4,22,12,1
1,1,4.4,1,4,15,11,3,3,4,0,12,0
11,4,0.0,2,5,15,7,3,4,3,0,10,0
5,6,4.7,4,4,15,11,3,4,0,0,12,1
11,2,0.0,0,4,8,8,3,4,0,0,11,0
1,6,0.0,4,3,16,13,0,19,0,13,0,1
5,1,0.0,2,1,12,8,3,0,0,13,12,0
1,3,0.0,4,3,8,8,3,0,0,12,12,0
7,4,5.0,4,5,8,11,3,19,0,13,12,1
1,3,4.7,4,4,8,11,0,0,0,0,11,0
5,3,4.8,4,3,16,11,0,0,0,23,12,1
1,1,4.5,0,5,8,8,3,4,0,4,9,0
11,1,0.0,2,3,8,5,3,11,4,9,11,0
1,1,3.7,4,1,4,5,0,0,0,0,12,1
11,1,4.8,0,5,8,11,3,4,0,0,9,0
7,1,0.0,3,3,4,5,0,4,22,2,3,1
1,1,0.0,0,5,9,8,3,11,14,2,12,1
10,4,5.0,1,5,8,11,2,16,0,4,12,0
0,1,4.9,4,4,12,11,3,0,0,0,12,0
1,2,4.9,2,3,8,13,3,0,0,0,3,1
0,1,4.6,4,5,8,5,3,11,0,22,12,0
1,3,4.5,4,5,8,5,3,11,22,2,12,0
1,3,4.8,3,4,8,8,2,11,4,22,5,0
5,4,4.6,0,4,8,8,3,21,8,13,12,0
1,1,4.5,1,5,16,11,3,0,4,5,14,0
12,1,0.0,2,1,8,11,3,7,0,0,9,0
1,3,0.0,0,5,8,11,2,16,0,0,7,0
7,6,5.0,0,5,8,13,3,19,4,22,11,0
0,1,4.3,1,3,8,5,3,11,22,23,9,1
5,6,4.4,4,1,8,5,2,4,0,0,7,0
7,6,0.0,4,4,10,8,2,4,3,2,11,0
1,1,4.5,4,4,8,8,3,4,0,0,12,1
5,6,4.7,1,5,12,11,0,14,0,22,12,1
1,6,4.7,4,3,8,11,2,4,4,0,4,0
1,4,4.8,1,5,10,8,3,16,4,13,9,0
5,6,4.3,4,5,16,11,3,19,22,13,12,1
6,1,0.0,0,5,15,5,3,11,0,0,12,0
1,3,0.0,4,0,8,5,3,4,0,0,9,0
7,4,4.8,4,3,12,11,3,16,4,22,12,1
5,1,0.0,2,1,16,11,2,4,0,3,12,0
1,3,4.6,2,3,8,5,3,4,0,0,12,1
11,4,4.7,4,3,15,11,3,11,0,13,12,1
12,6,4.7,4,4,8,5,2,4,0,0,12,0
7,1,4.8,1,4,8,8,3,4,0,19,12,0
7,1,0.0,1,4,8,8,3,4,4,0,11,0
1,1,4.7,1,8,8,5,0,0,0,0,1,0
1,6,4.6,4,8,8,5,3,16,0,2,12,1
9,1,5.0,4,4,16,11,0,0,0,0,0,0
1,1,0.0,4,4,16,11,3,4,4,0,9,0
5,1,5.0,0,8,8,13,3,16,0,13,5,0
5,1,4.8,4,5,8,11,3,16,0,9,12,0
1,1,4.7,2,4,16,8,3,4,0,0,3,0
1,1,4.1,1,1,16,5,0,0,4,22,0,1
1,1,5.0,3,1,8,8,3,3,4,0,0,0
5,1,5.0,1,4,16,11,2,4,0,23,12,1
12,1,4.6,0,4,12,8,3,4,0,0,12,0
1,1,4.5,1,4,10,11,0,0,0,0,0,0
11,1,4.5,0,1,8,11,2,0,22,0,12,0
1,1,0.0,1,4,8,13,3,14,3,0,12,1
7,1,4.7,0,4,8,11,3,4,22,0,11,0
6,3,4.7,4,5,8,8,3,14,0,22,11,0
1,6,5.0,4,3,12,11,2,21,0,0,14,1
1,1,5.0,1,5,8,11,3,0,4,22,12,1
1,1,4.3,4,4,8,11,3,4,22,0,14,0
12,6,4.5,1,5,16,13,0,0,0,0,9,0
1,1,4.3,2,3,4,5,3,4,0,13,9,1
1,1,4.4,0,1,8,7,3,0,5,13,1,0
10,3,4.3,1,1,9,8,3,6,0,13,11,0
1,3,4.6,4,4,8,5,3,4,22,13,12,1
1,6,4.6,0,5,8,5,0,4,0,0,0,0
1,1,4.6,1,3,8,11,3,0,4,22,12,1
1,6,0.0,4,1,10,13,2,0,0,0,0,0
1,1,4.7,2,3,8,7,2,0,4,0,0,1
1,1,0.0,2,4,8,11,2,4,0,0,12,0
1,6,4.8,4,4,8,11,3,4,0,0,11,1
1,1,5.0,2,5,8,11,2,16,4,0,10,0
5,7,0.0,4,5,16,11,3,16,10,0,12,0
1,6,4.4,4,4,8,11,3,16,0,22,11,0
1,1,4.8,1,1,16,8,0,0,4,9,11,1
1,1,5.0,4,4,16,11,0,12,0,0,9,0
5,6,4.8,1,1,16,5,3,4,0,0,11,1
1,1,4.6,4,5,16,5,3,4,7,0,14,0
1,1,4.6,1,5,16,5,3,3,4,0,0,0
1,6,5.0,2,3,8,11,3,3,0,0,11,0
7,1,0.0,1,5,8,8,3,16,4,22,12,0
1,6,4.8,4,3,8,11,0,3,4,0,11,1
1,1,4.6,1,1,8,8,2,16,0,2,3,0
6,1,5.0,1,3,12,11,2,0,4,21,12,1
1,3,4.9,4,8,8,11,2,19,0,22,11,1
1,1,4.7,0,4,8,11,3,19,4,3,12,0
1,4,4.6,1,8,8,5,3,2,0,0,12,1
1,1,4.7,1,8,16,11,2,16,4,2,11,0
5,1,4.7,1,8,16,11,3,16,3,0,9,0
1,1,3.5,1,8,16,8,3,0,0,0,12,0
1,1,4.8,1,8,8,13,3,0,0,0,11,1
1,1,0.0,1,8,8,5,3,4,8,10,12,1
1,6,4.6,1,4,8,11,3,4,0,22,14,0
1,1,4.7,0,3,16,7,3,0,3,0,11,1
1,6,4.5,4,4,8,5,3,4,0,5,12,0
1,1,4.7,1,4,8,11,3,16,0,0,2,0
1,6,4.5,1,5,8,8,3,3,4,0,12,0
1,6,4.7,2,7,8,5,3,4,0,0,9,0
7,3,0.0,4,4,4,11,0,4,0,0,11,0
9,7,5.0,1,3,12,11,3,3,4,11,0,1
1,1,4.9,1,1,16,11,0,16,0,0,0,1
9,7,0.0,0,5,16,11,3,16,19,3,0,0
9,7,0.0,1,5,16,3,0,0,4,13,0,0
1,3,4.4,1,5,16,16,0,4,0,0,0,1
9,7,0.0,1,3,16,14,3,8,16,2,0,1
9,5,0.0,1,5,2,11,3,0,0,15,0,0
9,5,0.0,1,3,2,11,0,14,0,0,0,0
9,1,5.0,1,5,8,4,2,16,0,13,0,1
9,5,4.7,1,5,14,10,3,0,4,11,0,0
9,0,4.8,4,5,8,11,2,0,0,9,0,1
9,0,4.5,0,4,0,5,0,0,0,0,0,1
9,7,4.9,1,3,2,9,2,0,4,3,0,1
9,5,4.6,1,8,2,11,3,0,4,0,0,0
9,1,5.0,1,3,2,11,3,16,0,0,0,1
9,7,4.8,0,3,2,11,2,9,12,3,0,1
9,7,0.0,1,5,2,11,3,16,4,3,0,1
9,5,4.6,0,3,12,11,2,19,4,3,0,0
9,1,4.8,0,0,2,11,2,0,0,17,0,1
9,4,4.6,2,5,1,8,2,0,0,7,0,0
9,7,4.9,1,3,2,11,3,19,4,3,0,1
9,4,4.8,2,3,16,11,2,0,0,0,0,1
9,7,4.2,0,5,16,11,0,0,0,13,0,1
1,3,4.4,4,4,8,11,0,0,0,0,0,1
9,7,4.1,1,5,1,8,3,4,11,2,0,1
9,7,0.0,1,5,8,5,3,0,0,10,0,1
1,5,4.6,1,4,2,11,2,0,0,3,0,1
9,1,4.7,4,5,8,11,0,16,0,0,0,0
9,7,4.7,0,5,12,11,2,22,4,3,0,1
9,7,4.5,1,3,16,3,0,0,0,13,0,1
9,1,4.7,4,3,2,11,2,17,4,3,12,1
9,5,4.8,1,4,2,11,4,0,16,0,0,1
9,5,4.6,1,4,12,11,3,0,4,0,0,1
9,4,4.7,1,5,8,11,2,4,4,5,0,1
7,1,4.4,4,3,2,11,2,21,19,20,12,1
9,1,5.0,1,3,8,11,0,0,0,0,0,1
9,7,4.8,4,3,2,11,3,16,4,3,0,1
9,4,4.8,1,3,8,11,3,19,4,7,0,1
9,7,4.9,0,3,12,11,0,0,4,11,0,1
9,4,0.0,4,5,16,8,2,0,4,13,0,1
12,1,5.0,4,5,8,6,0,9,0,0,0,0
9,7,4.9,1,3,16,11,2,0,16,3,0,1
1,5,5.0,4,4,16,11,3,14,0,0,0,1
1,7,0.0,6,3,8,5,0,0,4,2,0,0
1,4,4.7,1,3,8,11,3,4,0,4,0,1
9,1,0.0,1,3,16,11,3,0,0,0,0,1
1,1,4.4,4,4,12,11,2,4,0,0,0,1
1,7,4.6,1,8,8,8,3,0,0,11,0,1
1,3,4.4,4,8,6,11,3,0,0,8,0,1
9,5,4.5,1,8,8,11,0,0,0,0,0,1
1,1,4.8,4,4,8,11,3,0,0,0,0,0
5,1,5.0,1,4,8,10,3,16,3,19,0,0
11,1,4.9,4,4,8,17,2,0,0,0,0,0
11,1,4.7,2,4,15,8,2,4,0,0,0,0
12,1,4.9,1,4,13,7,2,16,16,22,0,0
1,6,4.7,0,3,8,8,3,3,4,0,0,0
1,1,4.8,0,1,8,8,3,2,0,0,0,0
5,6,4.7,4,3,16,10,0,0,0,23,0,1
1,1,0.0,2,5,12,7,3,14,3,0,0,0
1,1,4.2,2,5,16,11,2,15,4,12,9,0
3,1,0.0,4,4,8,5,3,4,16,12,12,0
1,3,4.3,4,4,3,11,2,3,4,7,0,0
1,1,3.7,1,4,4,11,3,7,0,0,0,0
1,1,5.0,4,8,8,11,3,16,3,13,0,1
5,6,5.0,4,3,16,11,2,0,4,0,0,0
7,3,0.0,4,5,8,11,3,0,4,0,0,0
11,1,4.8,1,4,16,5,3,17,14,0,0,1
6,1,4.8,0,5,8,11,3,16,4,0,12,0
6,1,0.0,4,3,8,11,3,17,4,0,14,1
5,1,4.5,1,4,5,11,0,4,4,0,12,0
3,4,4.2,1,5,8,7,3,16,4,12,1,1
1,3,5.0,4,3,16,5,3,4,0,0,12,1
1,1,5.0,0,5,8,15,3,16,0,2,12,0
1,3,4.8,1,5,16,11,3,16,0,0,11,0
6,3,5.0,4,3,8,8,3,14,8,22,11,1
1,6,5.0,4,3,5,11,3,19,4,2,11,0
1,3,5.0,1,3,8,9,3,3,4,0,12,1
7,1,4.3,1,4,0,0,3,4,4,0,12,0
3,1,0.0,4,8,8,8,3,16,3,13,0,1
7,6,0.0,0,3,8,11,2,0,0,0,0,1
5,3,4.8,4,3,12,11,3,4,3,23,12,0
5,3,4.8,4,4,12,11,2,19,0,13,12,0
1,3,4.4,1,5,8,11,3,16,0,0,12,0
1,1,4.5,1,5,8,11,3,16,4,20,14,0
1,3,4.7,2,4,8,5,3,4,0,0,9,0
1,6,4.4,4,3,8,11,3,16,0,22,11,0
12,1,4.9,1,5,12,8,3,16,3,21,12,0
7,4,4.6,4,3,8,8,3,3,0,12,12,1
1,3,4.7,4,3,8,7,3,19,4,22,11,0
1,3,4.7,1,5,8,5,2,16,4,0,11,1
1,1,4.8,1,3,8,11,3,4,4,12,11,0
5,3,4.8,0,4,8,11,3,4,0,0,12,1
1,1,4.3,1,3,8,7,0,0,0,0,0,1
1,1,4.7,3,8,16,8,2,10,0,0,11,0
1,3,0.0,0,8,16,5,0,0,0,0,12,0
5,1,4.7,1,1,12,11,3,14,0,19,12,0
1,3,4.7,4,8,8,11,3,0,0,0,0,1
1,5,0.0,0,8,16,5,0,16,0,0,12,0
1,3,4.7,0,4,8,11,3,19,22,13,9,0
1,1,4.7,4,4,16,5,3,4,0,22,12,0
1,1,0.0,4,5,16,5,0,2,0,0,12,1
1,6,4.7,4,4,8,4,3,3,4,0,11,1
1,1,4.7,1,4,8,15,0,3,4,20,12,0
5,6,4.5,4,4,12,11,0,16,1,0,0,0
11,6,4.0,4,4,15,8,3,4,20,12,12,0
5,6,4.7,4,4,16,11,0,0,0,0,0,0
6,6,5.0,4,4,8,11,2,4,3,24,11,1
1,6,4.7,2,5,8,9,3,5,0,13,12,0
5,1,4.5,2,5,16,11,0,16,0,0,0,0
7,1,4.7,1,4,8,11,3,3,0,22,13,0
11,3,0.0,4,4,8,11,3,4,2,0,11,1
1,1,4.1,0,8,8,11,3,16,0,0,0,1
1,1,4.2,1,8,16,5,2,16,0,13,9,1
0,1,4.8,4,8,16,7,3,16,3,0,12,0
0,1,4.9,4,5,8,11,3,0,0,0,12,0
5,1,4.8,2,5,16,11,2,16,4,13,12,0
1,1,4.7,0,5,8,11,3,16,4,0,9,0
11,1,4.7,1,4,16,8,3,17,0,3,11,0
1,1,4.8,4,4,8,11,3,4,4,22,12,0
5,3,4.7,1,5,16,11,3,16,0,0,14,0
1,1,5.0,5,3,15,5,2,4,22,0,12,0
1,3,1.0,1,3,8,7,0,0,4,0,0,0
5,1,4.1,4,4,16,11,3,4,0,13,0,1
1,3,4.0,4,4,16,11,3,4,3,12,11,0
12,1,4.7,1,3,16,11,0,0,0,0,0,1
7,1,4.6,4,3,16,5,3,4,4,0,12,1
1,3,5.0,1,3,8,11,3,21,8,0,11,0
1,1,4.7,1,1,16,11,3,0,4,0,14,1
1,6,4.6,4,8,8,5,3,16,0,2,12,0
1,1,4.5,0,4,8,8,3,4,8,18,12,0
7,1,4.6,1,1,8,15,3,19,4,22,11,0
1,3,4.6,4,1,8,7,3,3,4,0,6,1
1,3,4.7,0,4,0,11,0,4,0,0,12,1
5,3,0.0,0,4,8,11,2,20,0,0,14,0
6,1,4.0,4,5,8,11,3,16,4,21,14,0
1,6,4.7,4,4,8,5,3,4,0,0,12,1
12,1,0.0,1,4,16,11,3,4,22,0,12,1
6,1,4.1,4,4,8,15,0,0,0,12,0,0
1,1,0.0,1,3,8,7,3,0,0,13,0,0
0,3,4.6,1,4,8,8,3,4,0,0,1,0
7,3,0.0,4,3,16,11,2,3,4,0,0,1
1,1,5.0,1,3,8,15,0,21,0,0,0,0
1,3,5.0,4,8,8,5,3,23,0,2,12,0
11,1,4.5,0,8,8,8,2,0,0,23,9,1
1,1,4.5,4,4,8,8,3,16,0,0,12,0
6,3,4.4,0,4,5,8,3,4,0,0,3,0
1,5,0.0,0,8,16,15,3,16,0,21,12,1
1,1,4.8,4,8,8,11,0,16,0,22,12,0
0,3,4.7,1,5,8,5,3,4,0,0,9,0
1,4,0.0,4,5,5,5,0,2,9,0,12,1
1,1,4.7,1,5,8,8,2,16,17,0,1,0
9,1,0.0,1,4,8,5,3,4,0,0,9,1
6,1,4.8,2,4,16,8,3,4,0,0,12,0
5,1,4.9,4,4,13,11,3,16,0,22,11,0
1,1,3.0,1,3,15,8,2,16,0,22,9,0
1,6,4.7,0,1,8,8,3,16,17,0,9,1
1,1,4.3,1,1,8,11,3,16,0,16,12,0
1,1,0.0,3,5,16,8,2,16,17,18,12,1
1,3,5.0,4,4,8,11,3,13,8,16,12,1
11,1,0.0,0,4,13,8,2,4,4,0,3,1
1,3,4.7,4,8,8,11,3,10,0,0,1,0
11,1,5.0,1,4,16,15,3,16,0,0,11,0
1,3,4.7,0,4,8,5,3,11,22,13,9,1
6,1,4.6,1,3,8,11,3,18,17,22,12,0
9,1,4.8,1,4,8,5,0,4,0,0,12,1
6,3,4.6,4,4,16,11,3,4,3,3,12,0
9,7,4.6,4,4,8,11,2,17,0,12,12,0
7,3,4.8,1,3,8,8,3,18,17,4,3,1
11,1,0.0,1,3,8,7,2,16,0,13,1,0
1,4,4.9,0,5,8,8,3,4,3,22,12,0
1,1,4.2,4,4,8,11,3,4,22,0,14,1
1,1,4.9,1,4,8,8,1,4,0,21,9,0
6,3,5.0,3,3,16,15,3,0,17,0,11,1
1,1,4.7,1,4,8,11,0,4,0,0,3,0
1,1,0.0,4,4,5,7,0,4,0,0,0,0
1,1,0.0,4,4,8,11,3,4,0,13,4,0
5,4,0.0,4,8,8,11,3,16,0,23,12,0
5,6,4.4,4,1,16,11,3,4,22,13,12,0
5,1,0.0,4,3,16,5,3,4,20,13,12,1
0,1,4.9,3,3,12,5,3,0,0,22,12,0
1,1,4.7,3,4,16,7,3,0,3,0,11,1
1,1,0.0,4,1,16,5,3,4,0,13,12,0
1,1,4.8,1,4,16,5,3,0,17,0,0,0
1,4,4.9,0,3,13,11,2,0,0,0,11,0
9,1,4.7,1,3,8,7,2,0,17,0,9,0
5,6,4.4,4,4,5,11,3,22,0,4,12,0
6,3,4.6,4,8,8,11,2,16,0,0,9,1
1,3,4.6,4,2,8,5,3,17,0,13,12,1
5,3,4.5,4,4,8,11,2,4,0,22,12,1
5,3,0.0,4,8,16,0,1,4,0,13,0,1
1,1,0.0,3,3,5,11,3,11,0,13,12,0
5,1,0.0,4,2,8,5,3,16,16,12,12,0
5,3,4.8,4,3,16,11,3,0,0,0,14,1
0,3,4.7,4,2,8,11,3,0,17,23,12,0
5,5,5.0,1,4,16,11,3,11,0,0,14,0
1,1,4.6,0,4,5,5,1,4,0,0,9,0
7,4,4.9,2,4,5,11,2,0,0,4,9,1
3,1,4.9,1,2,8,8,3,16,4,14,11,0
1,3,4.3,4,3,8,5,0,0,4,22,8,1
1,3,4.7,2,2,8,11,3,4,0,0,12,0
1,1,4.8,0,2,4,11,3,0,0,22,12,0
7,1,4.5,0,8,16,11,3,16,8,22,12,1
1,1,4.4,4,4,8,4,3,4,0,0,12,0
9,1,0.0,1,3,8,11,0,0,4,0,12,1
5,3,0.0,4,4,16,11,1,0,0,0,0,1
1,3,4.8,0,4,16,15,3,4,0,0,11,0
12,1,5.0,1,4,8,12,3,0,0,0,12,1
3,1,5.0,4,4,8,10,3,0,0,0,11,0
1,3,4.6,4,3,16,11,3,19,4,8,12,0
1,1,4.5,1,4,8,5,3,4,0,13,12,0
1,1,4.5,0,3,4,15,3,0,5,13,1,1
1,1,4.5,4,2,8,7,3,4,4,12,12,1
7,3,0.0,1,4,4,8,0,0,4,22,0,0
9,1,4.9,1,8,8,7,0,4,0,13,0,1
1,1,4.8,1,4,8,7,0,0,0,0,0,0
1,3,4.4,0,4,8,11,3,4,4,0,12,0
1,1,4.3,1,8,12,10,3,16,0,22,12,0
7,1,4.7,0,4,8,11,3,16,3,13,12,0
5,1,0.0,2,4,16,11,0,0,0,0,0,1
1,3,4.4,4,4,8,11,0,0,0,0,1,0
7,5,4.3,1,3,4,5,3,16,18,13,12,1
12,1,4.8,1,8,15,5,3,0,0,0,12,0
1,1,4.6,1,3,8,7,3,16,0,13,12,0
5,3,0.0,4,4,16,11,2,4,0,0,12,0
1,5,4.9,3,8,16,5,2,4,0,23,12,0
5,3,0.0,4,8,8,11,3,8,4,12,12,0
7,1,5.0,1,2,16,11,3,4,0,0,12,0
7,3,0.0,4,3,16,11,3,19,22,13,9,1
1,3,4.4,4,4,8,5,3,4,0,18,12,0
1,1,0.0,0,3,8,11,3,3,4,23,12,0
7,1,4.7,1,3,8,5,3,17,4,3,12,1
1,1,4.6,1,8,16,7,3,19,4,22,12,1
1,3,4.4,4,4,8,5,3,4,0,0,12,1
1,3,5.0,1,1,8,11,2,0,4,0,11,1
1,1,0.0,4,8,8,8,3,16,4,6,12,0
5,1,0.0,4,8,12,11,3,4,3,23,12,1
1,3,4.4,1,4,8,7,2,3,4,4,12,0
7,1,0.0,0,4,8,11,2,4,0,13,12,1
1,3,4.8,4,8,5,5,3,16,4,4,12,0
1,1,5.0,0,4,8,11,3,4,0,0,0,1
7,1,4.6,1,3,8,7,3,1,4,0,0,0
6,3,4.6,4,4,8,11,3,4,4,14,12,1
0,1,4.7,1,8,8,7,3,1,4,0,14,0
1,3,4.7,1,3,8,5,3,16,0,0,12,1
5,3,4.3,4,4,8,5,2,4,0,0,0,0
